Image,Latitude,Longitude,Altitude
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0341.JPG,37.421890472120566,-122.08416265315432,357.7423218588888
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0342.JPG,37.42183803025061,-122.0836437275638,349.72296360567856
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0343.JPG,37.42217503480278,-122.08394812008463,360.4461536814818
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0344.JPG,37.42208830904161,-122.08338837262085,347.70747625247054
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0345.JPG,37.42205998268513,-122.08408966456862,362.39918826077536
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0346.JPG,37.42192071122111,-122.08426506026336,374.50994648715937
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0347.JPG,37.42205195967781,-122.08399762899468,357.48857679466084
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0348.JPG,37.42181269238861,-122.08432707882656,337.2672904171275
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0349.JPG,37.422275485563155,-122.08415692759309,336.51697333253577
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0350.JPG,37.422003290131215,-122.08406022436884,317.0065716873396
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0351.JPG,37.422034496690166,-122.08386642852192,327.32783225284237
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0352.JPG,37.422086738318626,-122.08413553337236,319.0428479677216
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0353.JPG,37.422423857302746,-122.08418684361104,337.71636851896176
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0354.JPG,37.42186985143937,-122.08400325923368,324.9219746929101
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0355.JPG,37.422015332899434,-122.08411196557434,330.37314276172674
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0356.JPG,37.42181508777778,-122.08395873626193,326.0498677258021
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0357.JPG,37.42224444451866,-122.08407063915891,335.8814788168228
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0358.JPG,37.421918609876094,-122.08414224554117,333.97372317129634
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0359.JPG,37.42205084495413,-122.08388327522032,344.3059066437369
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0360.JPG,37.42198658252006,-122.08401582081329,341.33393815226543
C:/Users/joshu/Desktop/All_Drone_Pics/Drone_Pics_2_16_25\DJI_0361.JPG,37.421846417023716,-122.08396281469071,352.7313574695968
